,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,88.43563842773438,Person,0,[-4.90302563  2.73501301 -8.44534588],[2.36532044 5.81242657 2.36532092],"[[ 966.   97.]
 [1203.   97.]
 [1203.  677.]
 [ 966.  677.]]","[[ -3.233926     5.6538043   -8.448268  ]
 [ -4.906555     5.6533384   -6.7758284 ]
 [ -6.578994     5.6511307   -8.448458  ]
 [ -4.9063644    5.651596   -10.120896  ]
 [ -3.22928     -0.15861955  -8.44524   ]
 [ -4.901909    -0.15908556  -6.7728014 ]
 [ -6.5743475   -0.16129355  -8.44543   ]
 [ -4.901718    -0.16082793 -10.117868  ]]",9.76542509620338,"1CA2BDE0
-0.706940 0.016771 0.707075 1.999999
0.008428 0.999848 -0.015288 2.833333
-0.707223 -0.004848 -0.706974 -8.999999
0.000000 0.000000 0.000000 1.000000
"
1,Person,88.57598876953125,Person,1,[-6.5687952   2.96683836 -3.8849988 ],[1.72143435 6.07043934 1.72143412],"[[730. 200.]
 [824. 200.]
 [824. 533.]
 [730. 533.]]","[[-5.348979    6.0114703  -3.8879588 ]
 [-6.566286    6.0111313  -2.6707904 ]
 [-7.7834535   6.009524   -3.8880973 ]
 [-6.5661473   6.009863   -5.105265  ]
 [-5.344126   -0.05896597 -3.8847969 ]
 [-6.561434   -0.05930487 -2.667628  ]
 [-7.7786016  -0.06091212 -3.8849344 ]
 [-6.5612946  -0.06057303 -5.1021037 ]]",7.631663389954296,"1CA2BDE0
-0.706940 0.016771 0.707075 1.999999
0.008428 0.999848 -0.015288 2.833333
-0.707223 -0.004848 -0.706974 -8.999999
0.000000 0.000000 0.000000 1.000000
"
