,Class,Class Confidence,Label,Id,Object_Position,Object_Dimensions,2D_Bounding_Box,3D_Bounding_Box,Distance_From_Camera,Camera_Position
0,Person,89.10794830322266,Person,0,[-4.77827263  2.73015547 -8.9234457 ],[2.29547501 5.77193165 2.29547501],"[[ 848.  181.]
 [1001.  181.]
 [1001.  575.]
 [ 848.  575.]]","[[ -3.633914     5.632758    -7.7768793 ]
 [ -5.9293876    5.6302366   -7.776455  ]
 [ -5.92981      5.6281238  -10.07193   ]
 [ -3.6343355    5.6306458  -10.072353  ]
 [ -3.6275725   -0.13916747  -7.771567  ]
 [ -5.923046    -0.14168933  -7.771143  ]
 [ -5.9234676   -0.14380229 -10.066618  ]
 [ -3.6279943   -0.14128043 -10.067041  ]]",10.122241476292487,"30961120
-0.000138 0.003780 0.999993 3.000875
0.011189 0.999930 -0.003778 2.829557
-0.999937 0.011188 -0.000180 -5.002158
0.000000 0.000000 0.000000 1.000000
"
1,Person,87.04259490966797,Person,1,[-6.82890654  2.9500134  -4.82790947],[1.96633589 6.17440653 1.96633506],"[[578. 194.]
 [683. 194.]
 [683. 528.]
 [578. 528.]]","[[-5.8491144   6.05159    -3.8461297 ]
 [-7.8154483   6.04943    -3.8457663 ]
 [-7.8158097   6.04762    -5.8121014 ]
 [-5.849476    6.04978    -5.8124647 ]
 [-5.8423314  -0.12281021 -3.8404472 ]
 [-7.8086653  -0.1249705  -3.8400838 ]
 [-7.8090267  -0.12678054 -5.806419  ]
 [-5.8426924  -0.12462045 -5.8067822 ]]",8.363173699351064,"30961120
-0.000138 0.003780 0.999993 3.000875
0.011189 0.999930 -0.003778 2.829557
-0.999937 0.011188 -0.000180 -5.002158
0.000000 0.000000 0.000000 1.000000
"
